,Lines
17206,about in every direction.  I have spoken to the men who are charged
17207,"with his capture, and they tell me he cannot escape.  A reward of a"
17208,hundred pounds is proclaimed by Government to-night.'
17210,"'I will give fifty more,' said Mr. Brownlow, 'and proclaim it with my"
17211,"own lips upon the spot, if I can reach it.  Where is Mr. Maylie?'"
17213,"'Harry?  As soon as he had seen your friend here, safe in a coach with"
17214,"you, he hurried off to where he heard this,' replied the doctor, 'and"
17215,mounting his horse sallied forth to join the first party at some place
17216,in the outskirts agreed upon between them.'
17218,"'Fagin,' said Mr. Brownlow; 'what of him?'"
17220,"'When I last heard, he had not been taken, but he will be, or is, by"
17221,this time.  They're sure of him.'
17223,"'Have you made up your mind?' asked Mr. Brownlow, in a low voice, of"
17224,Monks.
17226,"'Yes,' he replied.  'You--you--will be secret with me?'"
17228,'I will.  Remain here till I return.  It is your only hope of safety.'
17230,"They left the room, and the door was again locked."
17232,'What have you done?' asked the doctor in a whisper.
17234,"'All that I could hope to do, and even more.  Coupling the poor girl's"
17235,"intelligence with my previous knowledge, and the result of our good"
17236,"friend's inquiries on the spot, I left him no loophole of escape, and"
17237,laid bare the whole villainy which by these lights became plain as day.
17238,"Write and appoint the evening after to-morrow, at seven, for the"
17239,"meeting.  We shall be down there, a few hours before, but shall require"
17240,"rest:  especially the young lady, who _may_ have greater need of"
17241,firmness than either you or I can quite foresee just now.  But my blood
17242,boils to avenge this poor murdered creature.  Which way have they
17243,taken?'
17245,"'Drive straight to the office and you will be in time,' replied Mr."
17246,Losberne.  'I will remain here.'
17248,The two gentlemen hastily separated; each in a fever of excitement
17249,wholly uncontrollable.
17257,Near to that part of the Thames on which the church at Rotherhithe
17258,"abuts, where the buildings on the banks are dirtiest and the vessels on"
17259,the river blackest with the dust of colliers and the smoke of
17260,"close-built low-roofed houses, there exists the filthiest, the"
17261,"strangest, the most extraordinary of the many localities that are"
17262,"hidden in London, wholly unknown, even by name, to the great mass of"
17263,its inhabitants.
17265,"To reach this place, the visitor has to penetrate through a maze of"
17266,"close, narrow, and muddy streets, thronged by the roughest and poorest"
17267,"of waterside people, and devoted to the traffic they may be supposed to"
17268,occasion.  The cheapest and least delicate provisions are heaped in the
17269,shops; the coarsest and commonest articles of wearing apparel dangle at
17270,"the salesman's door, and stream from the house-parapet and windows."
17271,"Jostling with unemployed labourers of the lowest class,"
17272,"ballast-heavers, coal-whippers, brazen women, ragged children, and the"
17273,"raff and refuse of the river, he makes his way with difficulty along,"
17274,assailed by offensive sights and smells from the narrow alleys which
17275,"branch off on the right and left, and deafened by the clash of"
17276,ponderous waggons that bear great piles of merchandise from the stacks
17277,"of warehouses that rise from every corner.  Arriving, at length, in"
17278,streets remoter and less-frequented than those through which he has
17279,"passed, he walks beneath tottering house-fronts projecting over the"
17280,"pavement, dismantled walls that seem to totter as he passes, chimneys"
17281,"half crushed half hesitating to fall, windows guarded by rusty iron"
17282,"bars that time and dirt have almost eaten away, every imaginable sign"
17283,of desolation and neglect.
17285,"In such a neighborhood, beyond Dockhead in the Borough of Southwark,"
17286,"stands Jacob's Island, surrounded by a muddy ditch, six or eight feet"
17287,"deep and fifteen or twenty wide when the tide is in, once called Mill"
17288,"Pond, but known in the days of this story as Folly Ditch.  It is a"
17289,"creek or inlet from the Thames, and can always be filled at high water"
17290,by opening the sluices at the Lead Mills from which it took its old
17291,"name.  At such times, a stranger, looking from one of the wooden"
17292,"bridges thrown across it at Mill Lane, will see the inhabitants of the"
17293,"houses on either side lowering from their back doors and windows,"
17294,"buckets, pails, domestic utensils of all kinds, in which to haul the"
17295,water up; and when his eye is turned from these operations to the
17296,"houses themselves, his utmost astonishment will be excited by the scene"
17297,before him.  Crazy wooden galleries common to the backs of half a dozen
17298,"houses, with holes from which to look upon the slime beneath; windows,"
17299,"broken and patched, with poles thrust out, on which to dry the linen"
17300,"that is never there; rooms so small, so filthy, so confined, that the"
17301,air would seem too tainted even for the dirt and squalor which they
17302,"shelter; wooden chambers thrusting themselves out above the mud, and"
17303,threatening to fall into it--as some have done; dirt-besmeared walls
17304,"and decaying foundations; every repulsive lineament of poverty, every"
17305,"loathsome indication of filth, rot, and garbage; all these ornament the"
17306,banks of Folly Ditch.
17308,"In Jacob's Island, the warehouses are roofless and empty; the walls are"
17309,crumbling down; the windows are windows no more; the doors are falling
17310,"into the streets; the chimneys are blackened, but they yield no smoke."
17311,"Thirty or forty years ago, before losses and chancery suits came upon"
17312,"it, it was a thriving place; but now it is a desolate island indeed."
17313,"The houses have no owners; they are broken open, and entered upon by"
17314,"those who have the courage; and there they live, and there they die."
17315,"They must have powerful motives for a secret residence, or be reduced"
17316,"to a destitute condition indeed, who seek a refuge in Jacob's Island."
17318,"In an upper room of one of these houses--a detached house of fair size,"
17319,"ruinous in other respects, but strongly defended at door and window:"
17320,of which house the back commanded the ditch in manner already
17321,"described--there were assembled three men, who, regarding each other"
17322,"every now and then with looks expressive of perplexity and expectation,"
17323,sat for some time in profound and gloomy silence.  One of these was
17324,"Toby Crackit, another Mr. Chitling, and the third a robber of fifty"
17325,"years, whose nose had been almost beaten in, in some old scuffle, and"
17326,whose face bore a frightful scar which might probably be traced to the
17327,"same occasion.  This man was a returned transport, and his name was"
17328,Kags.
17330,"'I wish,' said Toby turning to Mr. Chitling, 'that you had picked out"
17331,"some other crib when the two old ones got too warm, and had not come"
17332,"here, my fine feller.'"
17334,"'Why didn't you, blunder-head!' said Kags."
17336,"'Well, I thought you'd have been a little more glad to see me than"
17337,"this,' replied Mr. Chitling, with a melancholy air."
17339,"'Why, look'e, young gentleman,' said Toby, 'when a man keeps himself so"
17340,"very ex-clusive as I have done, and by that means has a snug house over"
